movie_id,director
146675,Peter Hyams
450259,Edward Zwick
993846,Martin Scorsese
112462,Joel Schumacher
120201,Paul Verhoeven
1371111,Tom Tykwer
1219342,Zack Snyder
327554,Pitof
133240,Ron Clements
457400,Brad Silberling
2333784,Patrick Hughes
362165,Lawrence Guterman
1390411,Ron Howard
180052,Ron Underwood
947810,Paul Greengrass
2452042,Steve Martino
120176,David Mamet
209163,Stephen Sommers
217505,Martin Scorsese
1410063,Yimou Zhang
423294,Ash Brannon
327162,Frank Oz
265086,Ridley Scott
1790886,Jay Roach
119116,Luc Besson
1261945,Michael Patrick King
138749,Bibo Bergeron
1667889,Steve Martino
266543,Andrew Stanton
167260,Peter Jackson
167261,Peter Jackson
1121096,Sergey Bodrov
146316,Simon West
2209764,Wally Pfister
163025,Joe Johnston
1318514,Rupert Wyatt
416236,Mark Waters
1606378,John Moore
317705,Brad Bird
112760,Renny Harlin
814255,Chris Columbus
119654,Barry Sonnenfeld
120363,John Lasseter
477080,Tony Scott
266915,Brett Ratner
161081,Robert Zemeckis
844471,Phil Lord
1080016,Carlos Saldanha
359950,Ben Stiller
160127,McG
407887,Martin Scorsese
120762,Tony Bancroft
942385,Ben Stiller
1568346,David Fincher
112864,John McTiernan
988045,Guy Ritchie
230011,Gary Trousdale
2974918,Walt Becker
985699,Bryan Singer
960144,Dennis Dugan
2120120,Chris Columbus
212720,Steven Spielberg
338094,Rob Minkoff
118884,Robert Zemeckis
164052,Paul Verhoeven
373926,Sydney Pollack
1854564,Thor Freudenthal
325703,Jan de Bont
3110958,Jon M. Chu
120053,Phillip Noyce
266987,Tony Scott
183523,Brian De Palma
1436562,Carlos Saldanha
182789,Chris Columbus
120461,Mick Jackson
118972,Alan J. Pakula
267626,Kathryn Bigelow
1502712,Josh Trank
352248,Ron Howard
1041804,Andrey Konchalovskiy
329575,Gary Ross
117998,Jan de Bont
162222,Robert Zemeckis
366548,George Miller
372183,Paul Greengrass
118571,Wolfgang Petersen
240772,Steven Soderbergh
1509767,Paul W.S. Anderson
837562,Genndy Tartakovsky
461770,Kevin Lima
1599348,Daniel Espinosa
211181,Kevin Lima
471042,Brett Ratner
457939,Nancy Meyers
120660,Tony Scott
1230414,Nancy Meyers
496806,Steven Soderbergh
400717,Roger Allers
1840309,Neil Burger
215750,Jean-Jacques Annaud
327850,Peter Berg
107362,John McTiernan
397535,Rob Marshall
463985,Justin Lin
1430607,Sarah Smith
119643,Martin Brest
233469,Andrew Davis
78754,Bob Fosse
1667353,Tarsem Singh
446029,Edgar Wright
298814,Jon Amiel
144528,Peter Segal
267913,Raja Gosnell
389860,Frank Coraci
1287468,Brad Peyton
489099,Doug Liman
411477,Guillermo del Toro
443706,David Fincher
216216,Roger Spottiswoode
315327,Tom Shadyac
1320253,Sylvester Stallone
117060,Brian De Palma
1392170,Gary Ross
1411697,Todd Phillips
103776,Tim Burton
327084,Tim Johnson
275847,Dean DeBlois
413895,Gary Winick
120647,Mimi Leder
1821694,Dean Parisot
398165,Peter Segal
1615918,Mike Mitchell
2191701,Dennis Dugan
425061,Peter Segal
337741,Nancy Meyers
1130884,Martin Scorsese
369436,Seth Gordon
358082,Chris Wedge
119094,John Woo
960731,Adam Shankman
257044,Sam Mendes
1564367,Dennis Dugan
118880,Simon West
1059786,D.J. Caruso
159365,Anthony Minghella
1037705,Albert Hughes
119137,Les Mayfield
171363,Jan de Bont
117705,Joe Pytka
383216,Shawn Levy
118883,Richard Donner
2713180,David Ayer
120828,Ivan Reitman
1302067,Eric Brevig
166813,Kelly Asbury
1222817,Frank Coraci
120738,Stephen Hopkins
368008,Jonathan Demme
119033,Henry Jaglom
2510894,Genndy Tartakovsky
120910,James Algar
268695,Simon Wells
120751,Ron Underwood
244244,Dominic Sena
386140,Martin Campbell
120889,Vincent Ward
185431,Steven Brill
355295,Terry Gilliam
116996,Tim Burton
4291590,Lucile Hadzihalilovic
119051,Lee Tamahori
986263,Jonathan Mostow
146309,Roger Donaldson
116040,Rob Cohen
1762399,Barry Cook
185183,Roger Christian
318155,Joe Dante
875034,Rob Marshall
300556,Richard Donner
119925,Kevin Costner
120595,George Miller
1618442,Breck Eisner
199753,Antony Hoffman
344854,Luc Besson
765128,Jacques Perrin
318081,Peter Hyams
1921064,Paul W.S. Anderson
4057916,Andrés Couturier
268978,Ron Howard
110357,Roger Allers
1397514,Brad Peyton
1985966,Cody Cameron
289765,Brett Ratner
317648,Joe Johnston
810913,Dennis Dugan
322259,John Singleton
1754656,Mark Osborne
427392,Oliver Hirschbiegel
131704,Des McAnuff
2709768,Yarrow Cheney
311429,Stephen Norrington
1690953,Pierre Coffin
116629,Roland Emmerich
119567,Steven Spielberg
351283,Eric Darnell
206634,Alfonso Cuarón
120903,Bryan Singer
