movie_id,actor
1375666,Leonardo DiCaprio
1375666,Joseph Gordon-Levitt
903624,Adam Brown
903624,Aidan Turner
903624,James Nesbitt
421715,Jason Flemyng
421715,Brad Pitt
421715,Julia Ormond
1270798,Michael Fassbender
1270798,Jennifer Lawrence
1270798,Oliver Platt
1951266,Philip Seymour Hoffman
1951266,Jennifer Lawrence
1951266,Josh Hutcherson
963966,Omar Benson Miller
963966,Nicolas Cage
963966,Robert Capron
409182,Mike Vogel
409182,Jimmy Bennett
409182,Andre Braugher
2567026,Alan Rickman
2567026,Johnny Depp
2567026,Anne Hathaway
413267,Eric Idle
413267,Justin Timberlake
413267,Rupert Everett
803096,Callum Rennie
803096,Dominic Cooper
803096,Ruth Negga
1340138,Emilia Clarke
1340138,J.K. Simmons
1340138,Matt Smith
980970,Shane Rangi
980970,Bruce Spence
980970,Laura Brent
213149,Jaime King
213149,Jennifer Garner
213149,Mako
418279,Michael O'Neill
418279,Zack Ward
418279,Kevin Dunn
346491,Angelina Jolie Pitt
346491,Anthony Hopkins
346491,Brian Blessed
373889,Daniel Radcliffe
373889,Robert Pattinson
373889,Fiona Shaw
330373,Daniel Radcliffe
330373,Robert Pattinson
330373,Rupert Grint
448157,Charlize Theron
448157,Will Smith
448157,Eddie Marsan
480249,Alice Braga
480249,Will Smith
480249,Willow Smith
367594,Christopher Lee
367594,Johnny Depp
367594,David Kelly
382932,John Ratzenberger
382932,Janeane Garofalo
382932,Brian Dennehy
372784,Liam Neeson
372784,Christian Bale
372784,Morgan Freeman
479952,Jada Pinkett Smith
479952,Bernie Mac
479952,Cedric the Entertainer
1078912,Rami Malek
1078912,Robin Williams
1078912,Steve Coogan
458525,Ryan Reynolds
458525,Hugh Jackman
458525,Dominic Monaghan
242653,Collin Chou
242653,Essie Davis
242653,Nona Gaye
2294629,Maurice LaMarche
2294629,Josh Gad
2294629,Livvy Stubenrauch
234215,Daniel Bernhardt
234215,Steve Bastoni
234215,Helmut Bakaitis
1981115,Natalie Portman
1981115,Chris Hemsworth
1981115,Anthony Hopkins
1392190,Charlize Theron
1392190,Tom Hardy
1392190,Zoë Kravitz
808151,Ayelet Zurer
808151,Tom Hanks
808151,Armin Mueller-Stahl
800369,Natalie Portman
800369,Chris Hemsworth
800369,Anthony Hopkins
397892,Diedrich Bader
397892,Chloë Grace Moretz
397892,James Lipton
436339,Piper Mackenzie Harris
436339,Kelli Garner
436339,Niecy Nash
1646987,Edgar Ramírez
1646987,Liam Neeson
1646987,Lily James
1077368,Chloë Grace Moretz
1077368,Johnny Depp
